gene_symbol	flag	ClinVar_PL_record_count	interpretation
AVIL	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AXIN1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AXL	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B2M	low_record_burden	5	computed but semantic interpretation limited because record count < 20
B3GALT1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B3GNT4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B3GNT6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B4GALNT3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B4GALT1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
B4GALT3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B4GAT1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
B9D1	low_record_burden	14	computed but semantic interpretation limited because record count < 20
B9D2	low_record_burden	10	computed but semantic interpretation limited because record count < 20
BAAT	low_record_burden	6	computed but semantic interpretation limited because record count < 20
BACH2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BAG5	low_record_burden	5	computed but semantic interpretation limited because record count < 20
BAIAP2	low_record_burden	6	computed but semantic interpretation limited because record count < 20
BAX	low_record_burden	4	computed but semantic interpretation limited because record count < 20
BAZ1A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BAZ2B	low_record_burden	18	computed but semantic interpretation limited because record count < 20
BBIP1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BBOF1	low_record_burden	7	computed but semantic interpretation limited because record count < 20
BCAM	low_record_burden	4	computed but semantic interpretation limited because record count < 20
BCAP31	low_record_burden	17	computed but semantic interpretation limited because record count < 20
BCAR1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BCAS3	low_record_burden	16	computed but semantic interpretation limited because record count < 20
BCAT2	low_record_burden	8	computed but semantic interpretation limited because record count < 20
BCKDK	low_record_burden	17	computed but semantic interpretation limited because record count < 20
BCLAF1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BCORL1	low_record_burden	7	computed but semantic interpretation limited because record count < 20
BDNF	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BDP1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
BFSP1	low_record_burden	7	computed but semantic interpretation limited because record count < 20
BFSP2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
BGN	low_record_burden	17	computed but semantic interpretation limited because record count < 20
BHLHA9	low_record_burden	5	computed but semantic interpretation limited because record count < 20
BICC1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
BIN1	low_record_burden	8	computed but semantic interpretation limited because record count < 20
BIRC3	low_record_burden	7	computed but semantic interpretation limited because record count < 20
BLK	low_record_burden	3	computed but semantic interpretation limited because record count < 20
BLNK	low_record_burden	15	computed but semantic interpretation limited because record count < 20
BLOC1S3	low_record_burden	5	computed but semantic interpretation limited because record count < 20
BLOC1S5	low_record_burden	5	computed but semantic interpretation limited because record count < 20
BLVRA	low_record_burden	3	computed but semantic interpretation limited because record count < 20
BMP15	low_record_burden	11	computed but semantic interpretation limited because record count < 20
BMP4	low_record_burden	16	computed but semantic interpretation limited because record count < 20
BMP5	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BMP6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BMP7	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BMPR1B	low_record_burden	18	computed but semantic interpretation limited because record count < 20
BMS1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BNC1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
BNC2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BOD1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BOLA3	low_record_burden	7	computed but semantic interpretation limited because record count < 20
BORCS5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BORCS8	low_record_burden	3	computed but semantic interpretation limited because record count < 20
BPGM	low_record_burden	4	computed but semantic interpretation limited because record count < 20
